Date,Market Cap,,Date,Price
19/02/2024,1398712548,,19/02/2024,1.947010017
20/02/2024,1398712548,,20/02/2024,1.947010017
21/02/2024,1377619419,,21/02/2024,1.894618198
22/02/2024,1393661192,,22/02/2024,1.916096809
23/02/2024,1403622325,,23/02/2024,1.933605761
24/02/2024,1382873792,,24/02/2024,1.899376262
25/02/2024,1420156986,,25/02/2024,1.951770049
26/02/2024,1438292548,,26/02/2024,1.973342718
27/02/2024,1391430336,,27/02/2024,1.91285166
28/02/2024,1340665872,,28/02/2024,1.839729528
29/02/2024,1277324528,,29/02/2024,1.750089186
01/03/2024,1325457784,,01/03/2024,1.820315481
02/03/2024,1339354769,,02/03/2024,1.839335684
03/03/2024,1340801485,,03/03/2024,1.843793
04/03/2024,1303891398,,04/03/2024,1.791952323
05/03/2024,1662847634,,05/03/2024,2.275127313
06/03/2024,1838370423,,06/03/2024,2.54879606
07/03/2024,1758075452,,07/03/2024,2.417260144
08/03/2024,1669542234,,08/03/2024,2.293659984
09/03/2024,1753982841,,09/03/2024,2.410008817
10/03/2024,1768638001,,10/03/2024,2.425911158
11/03/2024,1884772623,,11/03/2024,2.583372498
12/03/2024,1799016259,,12/03/2024,2.47498427
13/03/2024,1917820253,,13/03/2024,2.632236003
14/03/2024,1743292627,,14/03/2024,2.393862266
15/03/2024,1598965762,,15/03/2024,2.195608744
16/03/2024,1481356064,,16/03/2024,2.031446019
17/03/2024,1537060107,,17/03/2024,2.114104276
18/03/2024,1408106005,,18/03/2024,1.936209512
19/03/2024,1398016255,,19/03/2024,1.910382866
20/03/2024,1552846160,,20/03/2024,2.138591917
21/03/2024,1519631123,,21/03/2024,2.086527414
22/03/2024,1474462834,,22/03/2024,2.027151925
23/03/2024,1515765592,,23/03/2024,2.079711614
24/03/2024,1593714833,,24/03/2024,2.1871709
25/03/2024,1653921178,,25/03/2024,2.278905292
26/03/2024,1677273235,,26/03/2024,2.310160957
27/03/2024,1624653082,,27/03/2024,2.235777442
28/03/2024,1658889723,,28/03/2024,2.273254021
29/03/2024,1589631241,,29/03/2024,2.183849195
30/03/2024,1554790021,,30/03/2024,2.136477073
31/03/2024,1588537047,,31/03/2024,2.182715188
01/04/2024,1490029760,,01/04/2024,2.042611787
02/04/2024,1395141101,,02/04/2024,1.909624736
03/04/2024,1382548480,,03/04/2024,1.897479368
04/04/2024,1397872767,,04/04/2024,1.922910549
05/04/2024,1378018744,,05/04/2024,1.892249858
06/04/2024,1407729806,,06/04/2024,1.932849355
07/04/2024,1433310700,,07/04/2024,1.969629024
08/04/2024,1498671440,,08/04/2024,2.056090447
09/04/2024,1366967332,,09/04/2024,1.877246983
10/04/2024,1354954033,,10/04/2024,1.862097153
11/04/2024,1331018225,,11/04/2024,1.827875738
12/04/2024,1111304781,,12/04/2024,1.524355068
13/04/2024,1034035530,,13/04/2024,1.422993502
14/04/2024,1084544925,,14/04/2024,1.489550019
15/04/2024,977497648.2,,15/04/2024,1.345764924
16/04/2024,927822074.2,,16/04/2024,1.272445748
17/04/2024,897023921.6,,17/04/2024,1.230404737
18/04/2024,911614549.4,,18/04/2024,1.250096343
19/04/2024,881486606.3,,19/04/2024,1.210634716
20/04/2024,979143735.3,,20/04/2024,1.346426786
21/04/2024,955287200.2,,21/04/2024,1.311928326
22/04/2024,973868809.4,,22/04/2024,1.338253017
23/04/2024,959508764.1,,23/04/2024,1.317879158
24/04/2024,876235506.8,,24/04/2024,1.203207244
25/04/2024,869143205.9,,25/04/2024,1.192411092
26/04/2024,847543139.3,,26/04/2024,1.162827062
27/04/2024,917410776.6,,27/04/2024,1.260664629
28/04/2024,916188038,,28/04/2024,1.259882371
29/04/2024,883765488.2,,29/04/2024,1.211960917
30/04/2024,891064095.5,,30/04/2024,1.221147854
01/05/2024,925615156.9,,01/05/2024,1.270212864
02/05/2024,933997741.4,,02/05/2024,1.282095824
03/05/2024,987961292.2,,03/05/2024,1.357484028
04/05/2024,979053352.9,,04/05/2024,1.34478391
05/05/2024,989238267.8,,05/05/2024,1.361046902
06/05/2024,960445768.9,,06/05/2024,1.318265497
07/05/2024,900511951.6,,07/05/2024,1.235164295
08/05/2024,898984175.4,,08/05/2024,1.233964493
09/05/2024,920582474.6,,09/05/2024,1.26393451
10/05/2024,880109228.9,,10/05/2024,1.206762964
11/05/2024,888021605.5,,11/05/2024,1.219767201
12/05/2024,871989792.5,,12/05/2024,1.19721793
13/05/2024,857347476.3,,13/05/2024,1.179391367
14/05/2024,838616058.4,,14/05/2024,1.152415153
15/05/2024,863279749.1,,15/05/2024,1.183264266
16/05/2024,806122384.5,,16/05/2024,1.106314699
17/05/2024,840848478.1,,17/05/2024,1.155827699
18/05/2024,839751980,,18/05/2024,1.154089979
19/05/2024,767171327.7,,19/05/2024,1.056199228
20/05/2024,873355831,,20/05/2024,1.200658707
21/05/2024,1433851582,,21/05/2024,1.260593231
